GDP/breakdown at current prices in National currency (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,Currency,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4,Afghanistan,Afghani,Manufacturing (ISIC D),"16,656,025","17,439,118","15,852,256","16,379,890","19,833,525","22,314,355","24,181,760","27,560,193","30,997,026","33,957,925","34,397,807","36,221,425","37,197,817","36,795,914","36,328,005","36,464,991","35,388,698","32,034,692","24,545,615","25,151,671","34,585,566","34,425,038","23,746,890","15,422,619","59,421,683","128,049,619","439,926,999","712,162,892","894,235,056","13,426,415,909","25,696,472,675","32,081,905,264","34,045,359,787","33,723,374,313","35,715,064,903","38,249,833,316","39,483,575,031","51,798,058,496","54,041,119,874","45,408,305,075","44,487,012,387","51,287,885,088","54,014,939,185","50,776,773,829","47,954,046,420","45,506,163,974","50,313,204,916","45,382,180,145","81,788,081,171","103,506,328,821","90,628,426,716"
4,Afghanistan,Afghani,Construction (ISIC F),"2,105,652","2,204,658","2,004,015","2,070,762","2,507,387","2,820,801","3,057,283","3,484,255","3,917,486","4,295,053","4,348,171","4,573,346","4,715,514","4,643,473","4,570,956","4,676,836","4,403,851","3,993,433","3,373,868","3,837,139","5,319,147","5,452,388","6,505,426","5,605,871","26,461,795","113,912,117","350,306,850","474,888,573","492,807,013","5,867,282,933","9,506,189,256","10,727,270,836","9,189,872,897","10,551,981,576","15,983,611,175","21,928,361,473","26,886,382,113","27,231,888,667","26,443,979,924","27,365,967,692","28,996,348,395","30,366,028,226","34,226,840,061","36,963,427,585","39,058,844,238","41,530,873,548","40,032,072,057","40,468,789,529","47,843,322,388","45,423,326,072","48,073,662,538"
4,Afghanistan,Afghani,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","10,187,063","10,665,491","9,696,139","10,017,743","12,128,242","13,653,970","14,784,006","16,846,203","19,003,136","20,707,671","21,012,081","22,400,903","22,333,513","22,584,455","23,278,935","19,972,355","23,167,322","23,112,210","14,619,889","8,824,561","41,383,264","29,284,178","24,096,097","18,268,127","49,199,579","215,295,543","553,949,920","628,522,897","537,040,388","5,005,600,446","6,862,109,507","7,743,374,796","17,594,121,883","22,405,411,708","24,791,093,124","28,804,629,338","32,685,274,183","44,344,168,899","50,570,709,591","53,342,731,660","62,712,602,353","76,076,947,070","100,386,256,518","112,520,110,128","113,711,525,563","121,458,263,194","134,292,122,157","152,949,072,998","152,899,409,619","161,358,037,639","153,407,308,696"
4,Afghanistan,Afghani,"Transport, storage and communication (ISIC I)","3,776,142","3,953,579","3,593,778","3,713,670","4,496,180","5,058,560","5,483,739","6,245,715","7,026,770","7,708,496","7,780,563","8,218,378","8,478,025","8,234,411","8,316,478","8,422,857","7,471,872","7,793,465","6,575,134","7,351,002","10,377,987","10,851,928","12,349,681","6,252,968","19,919,093","143,144,760","457,672,321","627,726,251","659,710,813","7,978,650,493","13,070,602,984","15,817,002,883","19,403,492,066","26,598,320,645","31,063,116,870","30,265,549,031","33,721,027,274","45,926,431,905","55,893,178,176","66,023,619,017","77,087,050,016","86,351,720,810","108,507,507,276","125,093,818,163","119,057,825,925","116,114,758,200","107,447,403,868","107,074,964,990","115,406,099,773","116,882,129,759","154,009,041,069"
4,Afghanistan,Afghani,Other Activities (ISIC J-P),"5,748,452","6,018,724","5,471,029","5,653,163","6,845,123","7,701,157","8,345,963","9,511,870","10,697,011","11,721,428","11,871,400","12,496,409","12,848,057","12,693,247","12,520,257","12,637,398","12,160,770","11,008,785","8,183,636","8,465,880","11,445,638","11,663,770","12,698,818","9,879,282","41,637,773","170,447,263","502,235,454","655,007,637","651,775,583","7,365,171,741","11,506,275,914","11,485,763,081","24,707,058,850","32,998,895,849","44,562,208,560","61,118,302,367","73,402,715,567","98,007,393,329","122,782,582,437","148,733,892,215","202,708,971,540","257,776,998,364","309,589,947,022","352,122,733,071","399,668,084,617","426,059,261,410","480,065,241,464","489,771,922,516","521,370,296,041","536,986,149,753","545,044,543,101"
4,Afghanistan,Afghani,Total Value Added,"77,912,718","81,575,717","74,153,714","76,620,382","92,775,575","104,386,378","113,108,409","128,919,139","145,029,834","158,778,029","160,931,743","169,593,185","173,591,741","172,454,917","170,477,362","168,524,620","168,032,855","150,979,054","137,319,433","161,486,469","180,108,764","172,172,997","174,301,039","143,927,675","729,118,301","2,297,365,029","6,584,780,089","8,587,020,134","8,597,786,963","98,885,938,859","157,803,387,342","170,927,404,577","193,741,174,970","223,505,813,317","245,001,343,359","290,316,634,061","330,773,864,665","437,336,050,817","473,712,201,066","538,557,631,145","636,151,604,917","760,673,313,440","905,133,405,826","1,002,467,829,251","1,051,063,735,621","1,071,361,405,309","1,164,587,771,279","1,218,629,990,258","1,260,078,420,305","1,400,597,138,054","1,452,778,734,675"
8,Albania,Lek,Final consumption expenditure,"7,591,456,824","7,809,842,024","8,034,541,337","8,263,282,773","8,503,419,589","8,748,178,017","8,989,322,471","9,266,508,644","9,525,546,277","9,753,273,697","10,150,000,000","10,347,000,000","10,468,000,000","10,986,000,000","11,386,000,000","11,449,000,000","11,957,000,000","12,448,000,000","12,372,000,000","13,037,000,000","13,942,000,000","17,896,530,978","84,079,815,898","161,708,995,034","195,243,640,652","230,756,795,501","380,716,627,753","383,295,802,392","431,575,243,305","449,900,642,220","463,244,398,172","500,542,739,387","557,807,269,094","619,648,104,884","652,200,454,758","707,476,197,155","769,319,104,336","890,645,062,771","1,010,136,930,389","1,052,102,441,397","1,106,590,150,286","1,161,113,861,155","1,183,692,059,129","1,229,288,972,091","1,287,018,487,075","1,316,771,205,061","1,358,072,925,301","1,412,737,723,500","1,479,509,982,436","1,543,610,520,865","1,529,916,328,150"
8,Albania,Lek,Household consumption expenditure (including Non-profit institutions serving households),"6,562,803,916","6,751,434,817","6,945,820,110","7,143,799,430","7,350,485,573","7,563,205,202","7,772,240,602","8,007,116,931","8,239,022,309","8,434,574,958","8,755,000,000","8,976,000,000","9,048,000,000","9,519,000,000","9,833,000,000","9,881,000,000","10,345,000,000","10,785,000,000","10,764,000,000","11,392,000,000","12,227,000,000","14,400,464,200","74,449,595,539","144,616,537,185","170,589,277,012","200,489,219,511","349,428,447,146","348,751,090,716","390,331,340,511","403,710,177,136","414,665,914,976","440,670,898,568","488,606,935,335","544,429,874,945","569,539,701,041","618,766,831,947","677,443,757,327","789,482,455,046","897,974,042,161","925,017,624,138","968,278,486,530","1,018,381,231,067","1,039,151,161,457","1,080,438,964,308","1,127,229,998,740","1,157,410,580,920","1,192,134,622,670","1,234,438,339,894","1,294,779,362,865","1,351,630,510,581","1,338,453,166,742"
8,Albania,Lek,General government final consumption expenditure,"1,028,652,908","1,058,407,207","1,088,721,227","1,119,483,343","1,152,934,016","1,184,972,815","1,217,081,869","1,259,391,713","1,286,523,968","1,318,698,739","1,395,000,000","1,371,000,000","1,420,000,000","1,467,000,000","1,553,000,000","1,568,000,000","1,612,000,000","1,663,000,000","1,608,000,000","1,645,000,000","1,715,000,000","3,496,066,778","9,630,220,359","17,092,457,849","24,654,363,640","30,267,575,990","31,288,180,607","34,544,711,676","41,243,902,794","46,190,465,083","48,578,483,196","59,871,840,820","69,200,333,759","75,218,229,939","82,660,753,718","88,709,365,209","91,875,347,010","101,162,607,726","112,162,888,228","127,084,817,259","138,311,663,756","142,732,630,088","144,540,897,673","148,850,007,783","159,788,488,336","159,360,624,141","165,938,302,632","178,299,383,606","184,730,619,571","191,980,010,283","191,463,161,408"
8,Albania,Lek,Gross capital formation,"4,124,250,102","4,241,593,036","4,361,719,825","4,493,953,222","4,614,034,834","4,742,896,827","4,915,131,896","4,993,780,839","5,151,461,420","5,468,656,296","5,233,000,000","5,655,000,000","6,508,000,000","5,963,000,000","5,235,000,000","5,672,000,000","5,456,000,000","4,817,000,000","4,971,000,000","5,926,000,000","4,108,000,000","1,161,993,339","2,544,580,569","15,968,865,887","31,858,747,939","46,578,697,807","47,123,882,674","56,527,529,552","84,223,105,621","107,805,169,031","159,915,524,482","206,950,970,115","220,116,797,163","243,266,578,217","278,802,182,264","304,937,408,651","332,252,371,291","351,304,871,579","386,648,832,381","395,319,642,019","375,719,906,943","408,572,585,990","377,566,023,925","378,723,569,022","358,240,269,600","370,324,427,295","371,415,544,989","388,476,046,844","391,345,414,275","399,010,949,173","347,515,685,819"
